asistencia;inscripcion;idEgresado;idEvento;idFechaInicio;idFechaFin;idUnidadAcademica;idPerfilPractica;idPerfilPersonal;idPerfilGrado
0;1;-1;481;91;91;16;-1;-1;-1
0;1;-1;576;50;50;2;-1;-1;-1
0;1;-1;501;330;330;5;-1;-1;-1
1;1;-1;545;351;351;2;-1;-1;-1
0;1;-1;540;90;90;2;-1;-1;-1
1;1;-1;814;332;332;2;-1;-1;-1
0;1;-1;646;387;387;2;-1;-1;-1
1;1;-1;102;87;87;2;-1;-1;-1
0;1;-1;933;5;5;2;-1;-1;-1
1;1;-1;798;443;443;2;-1;-1;-1
0;1;-1;310;220;220;5;-1;-1;-1
0;1;-1;351;243;243;3;-1;-1;-1
0;1;-1;210;76;76;1;-1;-1;-1
0;1;-1;242;2;2;3;-1;-1;-1
1;1;-1;786;433;433;2;-1;-1;-1
0;1;-1;410;253;253;3;-1;-1;-1
0;1;-1;254;141;141;5;-1;-1;-1
0;1;-1;312;194;194;5;-1;-1;-1
0;1;-1;581;26;26;2;-1;-1;-1
0;1;-1;133;115;115;2;-1;-1;-1
0;1;-1;172;141;141;2;-1;-1;-1
1;1;-1;878;415;415;2;-1;-1;-1
0;1;-1;470;40;40;2;-1;-1;-1
0;1;-1;31;32;32;1;-1;-1;-1
0;1;-1;205;165;165;2;-1;-1;-1
0;1;-1;192;156;156;28;-1;-1;-1
1;1;-1;143;121;121;2;-1;-1;-1
0;1;-1;407;43;43;8;-1;-1;-1
0;1;-1;347;69;69;33;-1;-1;-1
0;1;-1;269;151;151;2;-1;-1;-1
0;1;-1;656;181;181;2;-1;-1;-1
0;1;-1;359;181;181;3;-1;-1;-1
1;1;-1;146;123;123;1;-1;-1;-1
0;1;-1;453;111;111;8;-1;-1;-1
1;1;-1;780;336;336;57;-1;-1;-1
1;1;-1;521;233;233;27;-1;-1;-1
1;1;-1;828;80;80;2;-1;-1;-1
0;1;-1;341;220;220;3;-1;-1;-1
0;1;-1;705;369;369;2;-1;-1;-1
1;1;-1;26;28;28;3;-1;-1;-1
0;1;-1;258;39;39;3;-1;-1;-1
0;1;-1;875;272;272;2;-1;-1;-1
1;1;-1;510;334;334;2;-1;-1;-1
0;1;-1;399;210;210;26;-1;-1;-1
0;1;-1;291;211;211;1;-1;-1;-1
1;1;-1;721;251;251;2;-1;-1;-1
0;1;-1;273;1;1;35;-1;-1;-1
0;1;-1;716;164;164;2;-1;-1;-1
0;1;-1;240;183;183;32;-1;-1;-1
1;1;-1;184;23;23;2;-1;-1;-1
0;1;-1;531;40;40;2;-1;-1;-1
0;1;-1;17;19;19;3;-1;-1;-1
0;1;-1;123;106;106;3;-1;-1;-1
0;1;-1;1040;10;10;2;-1;-1;-1
1;1;-1;410;253;253;3;-1;-1;-1
0;1;-1;318;99;99;2;-1;-1;-1
0;1;-1;292;160;160;1;-1;-1;-1
0;1;-1;91;78;78;1;-1;-1;-1
1;1;-1;108;92;92;17;-1;-1;-1
1;1;-1;369;254;254;17;-1;-1;-1
1;1;-1;930;263;263;17;-1;-1;-1
1;1;-1;767;342;342;17;-1;-1;-1
1;1;-1;553;356;356;49;-1;-1;-1
1;1;-1;561;92;92;2;-1;-1;-1
1;1;-1;364;233;233;40;-1;-1;-1
1;1;-1;555;358;358;49;-1;-1;-1
1;1;-1;974;491;491;49;-1;-1;-1
1;1;-1;409;282;282;2;-1;-1;-1
0;1;-1;246;188;188;34;-1;-1;-1
0;1;-1;477;40;40;2;-1;-1;-1
0;1;-1;335;48;48;3;-1;-1;-1
1;1;-1;530;335;335;2;-1;-1;-1
0;1;-1;633;353;353;2;-1;-1;-1
0;1;-1;550;353;353;8;-1;-1;-1
0;1;-1;22;24;24;1;-1;-1;-1
1;1;-1;547;92;92;39;-1;-1;-1
0;1;-1;384;264;264;3;-1;-1;-1
1;1;-1;529;285;285;2;-1;-1;-1
1;1;-1;231;23;23;5;-1;-1;-1
0;1;-1;400;210;210;26;-1;-1;-1
0;1;-1;339;234;234;8;-1;-1;-1
0;1;-1;189;153;153;25;-1;-1;-1
0;1;-1;28;30;30;3;-1;-1;-1
0;1;-1;200;161;161;3;-1;-1;-1
1;1;-1;164;135;134;2;-1;-1;-1
1;1;-1;104;51;51;3;-1;-1;-1
0;1;-1;769;67;67;2;-1;-1;-1
0;1;-1;334;120;120;1;-1;-1;-1
0;1;-1;687;19;19;2;-1;-1;-1
1;1;-1;173;111;111;3;-1;-1;-1
0;1;-1;564;120;120;1;-1;-1;-1
0;1;-1;76;67;67;1;-1;-1;-1
0;1;-1;142;120;120;1;-1;-1;-1
1;1;-1;12;14;13;2;-1;-1;-1
1;1;-1;132;114;114;1;-1;-1;-1
0;1;-1;506;332;332;1;-1;-1;-1
0;1;-1;345;238;238;3;-1;-1;-1
1;1;-1;423;291;291;1;-1;-1;-1
1;1;-1;230;33;33;1;-1;-1;-1
0;1;-1;227;75;75;13;-1;-1;-1
0;1;-1;1020;106;106;2;-1;-1;-1
1;1;-1;166;17;17;3;-1;-1;-1
1;1;-1;720;352;352;13;-1;-1;-1
0;1;-1;804;190;190;2;-1;-1;-1
0;1;-1;411;253;253;3;-1;-1;-1
0;1;-1;278;96;96;2;-1;-1;-1
0;1;-1;262;190;190;1;-1;-1;-1
0;1;-1;906;477;477;8;-1;-1;-1
0;1;-1;366;46;46;9;-1;-1;-1
1;1;-1;313;221;221;3;-1;-1;-1
0;1;-1;188;136;136;3;-1;-1;-1
0;1;-1;395;271;271;30;-1;-1;-1
0;1;-1;440;301;301;1;-1;-1;-1
1;1;-1;239;182;182;3;-1;-1;-1
1;1;-1;690;83;83;2;-1;-1;-1
1;1;-1;683;395;395;3;-1;-1;-1
0;1;-1;1021;501;501;13;-1;-1;-1
0;1;-1;208;168;168;27;-1;-1;-1
0;1;-1;824;40;40;2;-1;-1;-1
