id;paisResidenciaActual;estadoResidenciaActual;ciudadResidenciaActual;empresaActual;cargoActual;donante;profesor;fechaActualizacion;fechaExpiracion
4188; Colombia; Cundinamarca; Bogot? D.C.; Correbal; Analista;D;D;01/08/2013;01/01/2099
4509; Colombia; Cundinamarca; Bogot? D.C.; Geofundaciones S.A.S.; Ingeniero De Calidad;D;D;01/08/2013;01/01/2099
4879; Colombia; Cundinamarca; Bogot? D.C.; Universidad De Los Andes; Asistente Graduado Doctoral;D;D;01/01/2013;01/01/2099
5916;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;7/15/2010;01/01/2999
5219;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;4/27/2016;01/01/2999
2071; Colombia; Cundinamarca; Bogot? D.C.; Armada Nacional; Medica Rural;D;D;01/08/2011;01/01/2099
6814;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;PROFESIONAL;0;0;6/27/2013;01/01/2999
3521; Colombia; Cundinamarca; Bogot? D.C.; Hospital De Suba II Nivel; Medico General;D;D;01/01/2012;01/01/2099
2540; Colombia; Cundinamarca; Bogot? D.C.; CAMARA DE REPRESENTANTES; ASISTENTE;D;D;01/01/2011;01/01/2099
2387; Colombia; Cundinamarca; Bogot? D.C.; Intelleco; Consultor;D;D;01/08/2011;01/01/2099
4134;NA;NA;NA; Sabana Construcciones; Coordinador De Equipos;D;D;01/08/2013;01/01/2099
3671; Colombia; Cundinamarca; Bogot? D.C.; ---; Analista Legislativo - Enlace En El Congreso;D;D;01/01/2012;01/01/2099
6931;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ABOGADO;0;0;7/30/2014;01/01/2999
3857; Colombia; Cundinamarca; Bogot? D.C.; Pedro G?mez Y C?a. S.A.; Profesional Gerencia De Planeaci?n;D;D;01/01/2012;01/01/2099
7253;FRANCIA;HAUT RIN;ALTKIRCH;NA;NA;0;0;12/10/2014;01/01/2999
2204; Colombia; Cundinamarca; Bogot? D.C.; Hospital De Fusagasuga; Medica Rural;D;D;01/08/2011;01/01/2099
22;NA;NA;NA; Tecnitanques Ingenieros Ltda; Coordinador De Proyectos;D;D;01/08/2009;01/01/2099
4307; Colombia; Cundinamarca; Bogot? D.C.; OtminaConsultores; Consultor;D;D;01/08/2013;01/01/2099
5362;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;SOCIA;0;0;6/25/2015;01/01/2999
6536;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;9/5/2016;01/01/2999
1096;NA;NA;NA; Constructora Bol?var; Arquitecta De Gestion;D;D;01/08/2010;01/01/2099
2447; Colombia; Cundinamarca; Bogot? D.C.; Correval S.A.; Corredor De Bolsa;D;D;01/08/2011;01/01/2099
5409;COLOMBIA;ANTIOQUIA;ENVIGADO;NA;DIRECTORA DE GESTION DE RIESGOS;0;0;5/29/2015;01/01/2999
5340;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NA;NA;0;0;7/26/2011;01/01/2999
3616; Colombia; Cundinamarca; Bogot? D.C.; Medicina  Legal; Coodinador Unidad  Basica Mesa;D;D;01/01/2012;01/01/2099
5542;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;INGENIERA AUDITORIAS Y CERTIFICACIONES;0;0;11/21/2016;01/01/2999
6929;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;GERENTE;0;0;10/2/2015;01/01/2999
1109;NA;NA;NA; Esacta; Analista;D;D;01/08/2010;01/01/2099
3311; Colombia; Cundinamarca; Bogot? D.C.; GRUPO BASSA; ASISTENTE DE GERENCIA;D;D;01/08/2012;01/01/2099
5722;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;8/20/2014;01/01/2999
7175;COLOMBIA;BOLIVAR;CARTAGENA;NA;ANALISTA DE RIESGOS NACIONALES E INTERNACIONALES;0;0;12/2/2014;01/01/2999
5380;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;6/27/2014;01/01/2999
6284;ESPA?A;COMUNIDAD DE MADRID;MADRID (ESPA?A);NA;DIRECTOR GENERAL;0;0;9/28/2009;01/01/2999
2462; Estados Unidos; Minnesota; Duluth;NA;NA;D;D;01/08/2011;01/01/2099
3353; Colombia; Cundinamarca; Bogot? D.C.; MEC DE COLOMBIA; INGENIERO 1;D;D;01/08/2012;01/01/2099
6477;COLOMBIA;CUNDINAMARCA;LA CALERA;NA;DOCENTE GESTION AMBIENTAL;0;0;2/17/2016;01/01/2999
3388; Colombia; Cundinamarca; Bogot? D.C.; De La Carrera Cavanzo; Arquitecta;D;D;01/08/2012;01/01/2099
5651;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;12/1/2005;01/01/2999
