id;beneficiarioQE;gradoEgresado;nivelGrado;semestreGrado
415;0;Mag?ster en Ingenier?a El?ctrica;Maestr?a;2018-20
868;0;Magíster en Administración;Maestría;2013-20
1999;0;Politólogo;Pregrado;1980-10
1558;0;Magíster en Ciencias Biológicas. Area: Microbiología;Maestría;2016-10
2187;0;Arquitecto;Pregrado;1961-10
742;0;Abogado;Pregrado;2002-10
1510;0;Psicólogo;Pregrado;2003-20
840;D;Abogado;Pregrado;2003-20
1183;0;Biólogo;Pregrado;1981-20
2222;0;Magíster en Biología;Maestría;2003-10
1283;0;Especialista en Recursos Humanos;Especialización;2000-20
2747;0;Doctor en Ciencias - Física;Doctorado;2013-20
383;0;Mag?ster en Econom?a Aplicada;Maestr?a;2018-10
1345;0;Psicólogo;Pregrado;2015-10
1454;0;Magíster en Ciencias Biológicas. Area: Microbiología;Maestría;2004-20
956;0;Magíster en Administración;Maestría;2013-10
3106;0;Profesional en Lenguajes y Estudios Socioculturales;Pregrado;2004-10
2596;0;Politólogo;Pregrado;1980-20
2910;0;Matemático;Pregrado;2010-20
87;0;Mag?ster en Psicolog?a Cl?nica y de la Salud;Maestr?a;2017-20
982;0;Magíster en Mercadeo;Maestría;2014-20
334;0;M?sico con Enfasis en Producci?n de Audio;PROFESIONAL;2018-10
2384;0;Diseñador Industrial;Pregrado;2003-10
2476;0;Historiador;Pregrado;2012-10
1282;0;Abogado;Pregrado;2014-20
157;0;Historiador del Arte;Pregrado;2017-10
3076;0;Especialista en Traducción;Especialización;2011-10
701;0;Psicólogo;Pregrado;2015-20
2253;0;Magíster en Ciencia Política;Maestría;2014-20
1850;0;Químico;Pregrado;2012-20
1539;0;Filósofo;Pregrado;2015-20
2440;0;Magíster en Microbiología;Maestría;1968-10
2296;D;Doctor en Ciencias - Física;Doctorado;2015-20
2929;0;Profesional en Lenguajes y Estudios Socioculturales;Pregrado;2016-10
2462;0;Magíster en Derecho;Maestría;2008-20
2066;0;Politólogo;Pregrado;1979-10
2925;0;Maestro en Textiles;Intermedio;1992-20
2361;0;Historiador;Pregrado;2012-20
36;0;Historiador del Arte;Pregrado;2017-20
2034;0;Bacteriólogo;Pregrado;2000-20
652;0;Especialista en Historia y Teoría del Arte Moderno y Contemporáneo;Especialización;2009-10
2514;0;Magíster en Derecho;Maestría;2008-10
1682;0;Filósofo;Pregrado;2003-20
2840;0;Profesional en Lenguajes y Estudios Socioculturales;Pregrado;2016-20
491;0;Biólogo;Pregrado;2006-20
3043;0;Arquitecto;Pregrado;1970-10
2916;0;Profesional en Lenguas Modernas;Pregrado;1987-10
706;0;Especialista en Mercados;Especialización;1991-10
2994;0;Maestro en Textiles;Intermedio;1992-10
2156;0;Bacteriólogo;Pregrado;2000-10
2364;0;Historiador;Pregrado;2000-10
1389;0;Especialista en Legislación Financiera;Especialización;2005-20
2182;0;Magíster en Literatura;Maestría;2015-10
1201;0;Abogado;Pregrado;2014-10
1911;0;Literato;Pregrado;1996-20
1197;0;Arquitecto;Pregrado;1970-20
2439;0;Diseñador Industrial;Pregrado;2015-20
