id;edadEgresado;generoEgresado;celularPrincipalEgresado;emailEgresado;nivelVinculacionEgresado;indiceRelacionamiento;indiceRelacionamientoEstandarizado;idPerfilPractica;idPerfilPersonal;idPerfilGrado
12329;25;M;1;1;Alta;0.0;0.0;-1;22165;-1
20232;34;F;1;1;Media;0.0;0.0;-1;29452;-1
41087;26;F;1;1;Media;0.0;0.0;-1;48776;-1
15628;29;M;1;1;Media;0.0;0.0;-1;25223;-1
906;27;M;1;1;Baja;0.0;0.0;-1;-1;-1
14512;-1;M;1;1;Baja;0.0;0.0;-1;24200;-1
6491;33;M;1;1;Media;0.0;0.0;-1;16844;-1
39300;-1;M;1;1;Alta;0.0;0.0;-1;47164;-1
11068;37;M;1;1;Alta;0.0;0.0;-1;21012;-1
11012;27;F;1;1;Baja;0.0;0.0;-1;-1;2
21711;43;M;1;1;Media;0.0;0.0;-1;30829;-1
31002;45;M;1;1;Baja;0.0;0.0;-1;39480;-1
24087;39;F;0;1;Baja;0.0;0.0;-1;33052;-1
6615;72;F;0;1;Baja;0.0;0.0;-1;-1;-1
33938;-1;M;0;0;Baja;0.0;0.0;-1;42202;-1
29557;48;M;1;1;Media;0.0;0.0;-1;38143;-1
25917;45;F;0;1;Baja;0.0;0.0;-1;34746;-1
21724;43;M;1;1;Media;0.0;0.0;-1;30842;-1
33336;37;F;1;1;Alta;0.2;0.4;-1;41648;-1
27282;36;F;1;1;Baja;0.0;0.0;-1;36039;-1
36419;39;M;1;1;Baja;0.0;0.0;-1;44498;-1
35551;55;F;1;1;Alta;0.0;0.0;-1;43697;-1
24560;40;M;1;1;Media;0.0;0.0;-1;33491;-1
41259;24;F;1;1;Media;0.0;0.0;-1;48932;-1
32;33;M;1;1;Baja;0.0;0.0;-1;11216;-1
17388;25;M;1;1;Media;0.0;0.0;-1;26849;-1
36252;-1;M;1;1;Media;0.0;0.0;-1;44345;-1
18740;55;M;1;1;Baja;0.0;0.0;-1;28082;-1
5506;41;F;1;1;Alta;0.2;0.4;-1;-1;-1
7414;46;M;0;1;Baja;0.0;0.0;-1;17673;-1
25490;41;F;0;0;Baja;0.0;0.0;-1;34357;-1
28627;65;F;1;0;Baja;0.0;0.0;-1;-1;-1
7863;57;M;1;1;Media;0.0;0.0;-1;18089;-1
12038;30;F;1;1;Baja;0.0;0.0;-1;21900;-1
23214;42;M;1;1;Baja;0.0;0.0;-1;32243;-1
9669;-1;M;1;1;Media;0.0;0.0;-1;19725;-1
