llave anónima vde,llave ctp
3969024,161642547666435000
3969319,161954933704318000
3970225,161625366202177000
3970378,161642644157956000
3970528,161948457764953000
3971255,161809574167450000
3971328,161805817121880000
3971667,161950291233030000
3972080,161805231445044000
3972130,161966829938257000
3972199,161792136052181000
3972457,161806064908553000
3972654,161316776528190000
3972722,162113569437290000
3972751,161805554854375000
3972794,161952725141718000
3973047,161968412379564000
3973126,161806555655445000
3973226,162266198532093000
3973283,161963832496868000
3973338,161955294287396000
3973366,161963834106658000
3973572,161782572679538000
3973876,161804471997539000
3973924,161630471979990000
3973950,161946128518895000
3974030,161968391452009000
3974095,161946130128596000
3974115,161805167085017000
3974200,161807126853584000
3974298,161806015029402000
3974493,161789947906989000
3974682,161964151235290000
3974857,161623877099177000
3975149,161950719419344000
3975257,162109425561910000
3975496,161462295525459000
3975556,161480873173662000
3975709,161640868718589000
3975939,161951039754588000
3976313,161964946472921000
3976602,162129380426973000
3977048,161460117648284000
3977254,161789273768180000
3977499,161785710026691000
3977671,161467908247844000
3977787,161963634492855000
3978082,161644403525062000
3978206,161964315433993000
3978293,161949671490684000
3978463,162108488244936000
3978700,161948541470030000
3978801,161622815755654000
3979127,161809350513409000
3979217,162109208142783000
3979333,161807334415975000
3979369,161645624151926000
3979677,161951894520031000
3979886,161781977391460000
3979936,161645210842973000
3980153,161806912855290000
3980217,161808097088228000
3980293,161475633133535000
3980795,161627670626714000
3980898,161627672234831000
3981534,161805915271124000
3981770,161644791101736000
3981876,161965387556984000
3981912,161952831384180000
3981965,161946271782336000
3982394,161803648192091000
3982493,161808385102057000
3982991,161807561286647000
3983446,161969233384712000
3983523,161803435805088000
3983723,161625451431822000
3984286,161968393061821000
3984387,161644559520597000
3984631,161967375662310000
3984685,161964318653576000
3984727,161809931370627000
3984920,161624727784608000
3985090,161964389484416000
3985356,162111562719163000
3985531,161805416480194000
3985618,161945771165418000
3985903,161642790503484000
3985978,161645707778704000
3986037,162117753629480000
3986525,161955004533105000
3986716,161966836377473000
3986989,162114157282433000
3987123,161641253074654000
3987340,161969825797562000
3987737,161948546299169000
3987832,161787146780953000
3988175,161808227418476000
3988267,161782072315702000
3988451,162270900313733000
3988570,161944784421155000
3988601,161806484859126000
3988666,161477478389501000
3988715,161965656393185000
3988915,161952451487051000
3988970,161804822759089000
3989427,161790821554361000
3989665,161624566974336000
3989773,161965352141453000
3990181,161967044042274000
3990288,161943005713559000
3990701,161968555652862000
3990807,161803593486334000
3990980,161641581144628000
3991130,162107787674741000
3991197,161946505189202000
3991388,161946133347999000
3991450,161782659559511000
3991663,161946508408608000
3991713,161806982042693000
3991780,161805863782992000
3992194,161477417309431000
3992285,161962320908321000
3992608,161644691393170000
3992743,161622535947487000
3992998,161647361020229000
3993071,161785010154305000
3993824,161967876312620000
3993860,161967877922429000
3994110,161950323427470000
3994437,161944539747676000
3994722,161807299017728000
3994828,161644569169808000
3994977,161968966155357000
3995101,161968404330504000
3995160,161809957115015000
3995706,161808224200445000
3995958,161624563758132000
3996168,161642102197623000
3996692,161793090152474000
3996834,161807439001726000
3996913,161966147382032000
3997352,161943953819831000
3997448,161305418275458000
3997577,161806330394484000
3997716,161805364992141000
3998066,161966229481880000
3998285,161949436471819000
3999268,161645519618483000
3999513,162104613385998000
4000051,161622928322226000
4000210,161629347897889000
4000381,161806652195905000
4000409,161804974005012000
4000474,161967565619571000
4000723,161644889202129000
4000793,161807775285370000
4000839,162267908116508000
4000865,161806684376064000
4001408,161945276988062000
4001463,161965216918553000
4001643,161951548428290000
4001977,161806830795831000
4002096,161953995224347000
4002419,161788158787504000
4002487,161945759897522000
4002994,161952324318196000
4003286,161807849299999000
4003601,161790298652796000
4003789,161804790579114000
4003908,162109090575464000
4003977,161968486430923000
4004193,161794802069665000
4004227,161805327985109000
4004431,161787714727006000
4004548,161953690983568000
4004671,161628180400445000
4004824,162113709553707000
4004877,161964756517196000
4004986,161805952278223000
4005478,161786474256887000
4005675,161944229077011000
4006114,161804370630740000
4006217,161965224967533000
4006475,161784221794121000
4006644,162289011994019000
4006764,161629963810773000
4007417,161945766336320000
4008501,161951297310793000
4008571,161809064107741000
4009044,161963917815708000
4009352,161805939406188000
4009517,161963904937391000
4009870,161963911376550000
4010333,160997533975200000
4010574,161808550830801000
4010794,161626417905406000
4010849,162113962407624000
4011191,161806769653503000
4011256,161808525086524000
4011304,161966553052068000
4011404,161966554661871000
4011430,161966556271673000
4011645,161808214546351000
4011718,162129266073562000
4011738,161624452799092000
4011854,161806200064999000
4011971,161624456015295000
4012329,162108526897129000
4012477,161805440615221000
4012724,161806203283011000
4013115,161788087995210000
4013179,161786189480372000
4013322,161808513823404000
4013600,161804494523498000
4013739,161950667908179000
4013964,161966464512929000
4014004,161481292702022000
4014097,161783348164568000
4014313,161785750249288000
4014851,161807723796943000
4015258,161625982107476000
4015483,161806655413920000
4015875,161641328659373000
4016143,161809765641176000
4016275,161644495192532000
